host,url,resource_type,status,content_type,outcome,discovered_from,notes
apps.rbcits.com,https://apps.rbcits.com/robots.txt,robots,200,text/plain,fetched,seed,candidate source only
www.rbcis.com,https://www.rbcis.com/robots.txt,robots,200,text/plain,fetched,seed,candidate source only
www.rbcis.com,https://www.rbcis.com/,page,200,text/html,scanned,seed,0 external scripts; 0 inline blocks
www.rbcis.com,https://www.rbcis.com/en/,page,200,text/html,scanned,seed,9 external scripts; 7 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/,page,200,text/html,scanned,seed,9 external scripts; 8 inline blocks
www.rbcis.com,https://www.rbcis.com/en/gmi/global-custody/market-newsflash.page,page,200,text/html,scanned,seed,11 external scripts; 4 inline blocks
apps.rbcits.com,https://apps.rbcits.com/,page,200,text/html,scanned,seed,0 external scripts; 0 inline blocks
apps.rbcits.com,https://apps.rbcits.com/gmi/drip/,page,200,text/html,scanned,seed,2 external scripts; 2 inline blocks
www.rbcis.com,https://www.rbcis.com/en/who-we-are/contact.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/pensioner-resources.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 5 inline blocks
www.rbcis.com,https://www.rbcis.com/en/client-sign-in.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/home.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 7 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 5 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/asset-managers.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/insurance-companies.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/family-offices-investment-counsellors.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/pension-funds.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/custody-solutions.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 9 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/shareholder-services-solutions.page,page,200,text/html,scanned,prior successful public page,10 external scripts; 7 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/fund-administration-solutions.page,page,200,text/html,scanned,prior successful public page,10 external scripts; 7 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/etf-administrative-solutions.page,page,200,text/html,scanned,prior successful public page,10 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/collateral-management-solutions.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/securities-finance-solutions.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/fx-solution.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/currency-overlay-solutions.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/how-we-help/unity-fx.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/our-insights.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/who-we-are.page,page,200,text/html,scanned,prior successful public page,11 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/who-we-are/leadership/our-leadership.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/who-we-are/media.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/who-we-are/governance.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/who-we-are/careers.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/citizenship.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 5 inline blocks
www.rbcis.com,https://www.rbcis.com/en/citizenship/investing-in-youth.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/citizenship/protecting-the-environment.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/citizenship/support-for-creatives.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/news/2026/08/rbc_investor_services_named_operations_team_of_the_year,page,200,text/html,scanned,prior successful public page,7 external scripts; 5 inline blocks
www.rbcis.com,https://www.rbcis.com/en/news/2026/07/rbc_investor_services_named_best_sub-custodian_in_canada_by_global_finance_magazine,page,200,text/html,scanned,prior successful public page,7 external scripts; 5 inline blocks
www.rbcis.com,https://www.rbcis.com/en/news/2026/06/rbc_investor_services_surpasses_3_trillion_assets_under_administration_with_strong_momentum_in_canadian_market,page,200,text/html,scanned,prior successful public page,7 external scripts; 5 inline blocks
www.rbcis.com,https://www.rbcis.com/en/gmi/global-custody.page,page,200,text/html,scanned,prior successful public page,11 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/privacy.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/terms-of-use.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/en/disclaimers.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/en/who-we-are/our-locations/contact-us-uk.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/who-we-are/our-locations.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 7 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/client-sign-in.page,page,200,text/html,scanned,prior successful public page,7 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/home.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 8 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/how-we-help.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/how-we-help/asset-managers.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/how-we-help/insurance-companies.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 6 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/how-we-help/family-offices-investment-counsellors.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 0 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/how-we-help/pension-funds.page,page,200,text/html,scanned,prior successful public page,8 external scripts; 4 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/how-we-help/custody-solutions.page,page,200,text/html,scanned,prior successful public page,9 external scripts; 11 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/how-we-help/shareholder-services-solutions.page,page,200,text/html,scanned,prior successful public page,10 external scripts; 9 inline blocks
www.rbcis.com,https://www.rbcis.com/fr/how-we-help/fund-administration-solutions.page,page,200,text/html,scanned,prior successful public page,10 external scripts; 9 inline blocks
