finding_id,page_url,js_source,line,endpoint_expression,http_method,execution_side,page_access,api_auth_type,call_mechanism,confidence,summary
GMI-BAA18373,https://www.rbcis.com/en/gmi/global-custody.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/mainpage.js,28,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1&count=4,GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1&count=4. Authentication: No explicit auth observed (cookies may still apply).
GMI-D04C4C29,https://www.rbcis.com/en/gmi/global-custody.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/mainpage.js,40,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3&count=4,GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3&count=4. Authentication: No explicit auth observed (cookies may still apply).
GMI-2ADE238D,https://www.rbcis.com/en/gmi/global-custody/holiday-calendar.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-26-1-bundle.js,456,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(),GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(). Authentication: No explicit auth observed (cookies may still apply).
GMI-90D01656,https://www.rbcis.com/en/gmi/global-custody/holiday-calendar.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-26-1-bundle.js,587,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5,GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5. Authentication: No explicit auth observed (cookies may still apply).
GMI-A56A3604,https://www.rbcis.com/en/gmi/global-custody/market-newsflash.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/market-newsflash-25.js,27,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1&count=20,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1&count=20. Authentication: Client-embedded credential (Basic).
GMI-5746D036,https://www.rbcis.com/en/gmi/global-custody/market-newsflash.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/market-newsflash-25.js,95,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1. Authentication: Client-embedded credential (Basic).
GMI-057CCA83,https://www.rbcis.com/en/gmi/global-custody/tax-profiles.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/tax-bulletins-23.js,26,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=2&count=20,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=2&count=20. Authentication: Client-embedded credential (Basic).
GMI-58854AEB,https://www.rbcis.com/en/gmi/global-custody/tax-profiles.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/tax-bulletins-23.js,101,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=2,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=2. Authentication: Client-embedded credential (Basic).
GMI-DC111F17,https://www.rbcis.com/en/gmi/global-custody/updates.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/updates-25.js,24,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3&count=10,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3&count=10. Authentication: Client-embedded credential (Basic).
GMI-D38CC62E,https://www.rbcis.com/en/gmi/global-custody/updates.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/updates-25.js,92,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3. Authentication: Client-embedded credential (Basic).
GMI-BEA607D6,https://www.rbcis.com/fr/gmi/global-custody.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/mainpage.js,28,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1&count=4,GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1&count=4. Authentication: No explicit auth observed (cookies may still apply).
GMI-95CD73F8,https://www.rbcis.com/fr/gmi/global-custody.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/mainpage.js,40,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3&count=4,GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3&count=4. Authentication: No explicit auth observed (cookies may still apply).
GMI-7B086A9F,https://www.rbcis.com/fr/gmi/global-custody/holiday-calendar.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-24.1-bundle.js,456,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(),GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(). Authentication: No explicit auth observed (cookies may still apply).
GMI-AEA89090,https://www.rbcis.com/fr/gmi/global-custody/holiday-calendar.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-24.1-bundle.js,587,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5,GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5. Authentication: No explicit auth observed (cookies may still apply).
